date,symbol,open,high,low,close,volume,openint,amount
2021-07-09,DFJ0,2077.5,2130.0,2075.5,2108.5,349993,156931,87137870000.0
2021-07-12,DFJ0,2122.0,2145.0,2083.0,2125.0,390994,172498,97656390000.0
2021-07-13,DFJ0,2116.5,2162.5,2105.0,2161.5,350567,146932,88391800000.0
2021-07-14,DFJ0,2155.0,2196.0,2146.0,2188.5,293962,148058,75387680000.0
2021-07-15,DFJ0,2187.5,2261.0,2155.5,2226.5,376936,151005,98436650000.0
2021-07-16,DFJ0,2230.0,2289.0,2221.0,2276.5,302771,140827,80788450000.0
2021-07-19,DFJ0,2272.5,2277.0,2229.0,2250.5,280001,134535,74728150000.0
2021-07-20,DFJ0,2234.0,2323.0,2216.5,2314.5,312240,147130,83654689999.99998
2021-07-21,DFJ0,2314.5,2330.0,2284.5,2313.0,240574,141781,65813530000.0
2021-07-22,DFJ0,2310.5,2324.5,2254.0,2314.0,328209,153949,89040950000.0
2021-07-23,DFJ0,2331.0,2366.5,2326.5,2341.0,293360,150606,81403760000.0
2021-07-26,DFJ0,2341.0,2439.5,2321.5,2424.0,292508,169905,82805600000.0
2021-07-27,DFJ0,2437.0,2460.0,2401.5,2420.5,228504,148676,65650060000.0
2021-07-28,DFJ0,2418.5,2498.0,2413.5,2494.5,241014,178103,70238960000.0
2021-07-29,DFJ0,2495.5,2514.0,2468.5,2510.0,228150,169181,67221540000.0
2021-07-30,DFJ0,2510.0,2530.0,2415.0,2488.0,380772,164588,111503000000.0
2021-08-02,DFJ0,2465.0,2475.0,2406.0,2451.5,353968,161280,102382599999.99998
2021-08-03,DFJ0,2452.0,2458.5,2382.0,2384.5,270780,139849,77340560000.0
2021-08-04,DFJ0,2383.5,2497.0,2381.0,2496.5,259045,159035,74931620000.0
2021-08-05,DFJ0,2494.5,2526.0,2484.0,2489.5,277899,166175,82389700000.0
2021-08-06,DFJ0,2495.5,2544.0,2474.5,2519.5,265478,166578,78984490000.0
2021-08-09,DFJ0,2529.5,2578.0,2516.0,2541.0,286247,155883,86122990000.0
2021-08-10,DFJ0,2530.0,2609.5,2515.5,2600.5,216135,137934,65546830000.0
2021-08-11,DFJ0,2605.5,2660.5,2592.0,2643.5,154277,122372,47884430000.0
2021-08-12,DFJ0,2643.5,2670.0,2610.0,2623.5,149170,116297,46571130000.0
2021-08-13,DFJ0,2639.0,2668.0,2620.0,2658.5,97406,100307,30502390000.0
2021-08-16,DFJ0,2666.0,2750.0,2643.0,2677.0,330294,148060,96649180000.0
2021-08-17,DFJ0,2648.5,2718.5,2640.0,2716.0,298171,157820,86585350000.0
2021-08-18,DFJ0,2731.0,2734.5,2601.0,2622.0,335661,168124,97048830000.0
2021-08-19,DFJ0,2615.5,2690.0,2545.5,2649.0,452418,184179,128663800000.0
2021-08-20,DFJ0,2617.0,2653.5,2562.0,2608.5,287836,148893,81399880000.0
2021-08-23,DFJ0,2611.5,2814.0,2611.5,2814.0,247535,162236,73204940000.0
2021-08-24,DFJ0,2861.5,3011.0,2861.5,2904.0,304701,157607,97338760000.0
2021-08-25,DFJ0,2914.0,3062.0,2912.5,3034.5,241300,174841,78285460000.0
2021-08-26,DFJ0,3041.0,3071.5,2926.0,2963.5,296752,179115,96639080000.0
2021-08-27,DFJ0,2903.0,2933.5,2833.5,2916.5,295372,170894,92319010000.0
2021-08-30,DFJ0,2928.0,2961.0,2826.0,2937.0,294417,174249,92351430000.00002
2021-08-31,DFJ0,2952.0,2952.5,2867.5,2910.5,224515,164297,70809330000.0
2021-09-01,DFJ0,2903.0,2951.5,2862.5,2946.0,241485,170954,76172160000.0
2021-09-02,DFJ0,2969.0,3139.0,2955.0,3095.5,342607,185408,113378399999.99998
2021-09-03,DFJ0,3062.0,3118.5,3025.5,3075.0,227777,171009,76048420000.0
2021-09-06,DFJ0,3070.5,3225.0,3015.0,3216.0,179165,152860,61056950000.0
2021-09-07,DFJ0,3245.5,3370.5,3230.0,3369.0,157428,144063,56110590000.0
2021-09-08,DFJ0,3356.5,3356.5,3271.5,3312.0,127921,127439,46011160000.0
2021-09-09,DFJ0,3318.5,3537.0,3318.5,3490.5,94459,123522,35270070000.0
2021-09-10,DFJ0,3529.5,3542.0,3214.5,3233.0,130649,112075,47902100000.0
2021-09-13,DFJ0,3256.5,3349.5,3115.0,3130.5,108914,105237,38414700000.0
2021-09-14,DFJ0,3135.0,3188.5,3050.0,3081.5,103363,100710,34920860000.0
2021-09-15,DFJ0,3069.0,3170.0,2982.0,3108.5,100580,94360,33413960000.0
2021-09-16,DFJ0,3119.0,3188.5,2922.0,2928.5,98436,90555,32822220000.0
2021-09-17,DFJ0,2969.0,3013.0,2903.0,2965.5,58500,84790,18797670000.0
2021-09-22,DFJ0,2949.0,3153.5,2937.0,3149.0,52725,84380,17637730000.0
2021-09-23,DFJ0,3156.5,3258.5,3121.5,3209.0,66187,84711,22897520000.0
2021-09-24,DFJ0,3165.0,3172.0,2937.5,2946.5,72725,82572,23903089999.999996
2021-09-27,DFJ0,2993.5,3026.5,2879.0,2924.5,75717,81582,24257760000.0
2021-09-28,DFJ0,2934.5,3151.5,2930.5,3142.5,61089,80913,20250300000.0
2021-09-29,DFJ0,3142.5,3223.5,3073.5,3100.5,57686,78273,19626170000.0
2021-09-30,DFJ0,3106.0,3308.5,3048.0,3272.5,74587,75824,25647859999.999996
2021-10-08,DFJ0,3269.0,3356.5,3181.0,3230.0,41980,76011,14854060000.0
2021-10-11,DFJ0,3230.0,3435.5,3198.0,3424.5,51066,77671,18475000000.0
2021-10-12,DFJ0,3429.0,3526.0,3406.5,3482.5,43629,78615,16418870000.000002
2021-10-13,DFJ0,3497.5,3640.0,3328.0,3560.0,82785,79765,31592380000.000004
2021-10-14,DFJ0,3571.0,3576.0,3382.5,3555.5,50341,79136,19122590000.0
2021-10-15,DFJ0,3557.5,3803.5,3557.0,3783.5,66165,86633,26367590000.0
2021-10-18,DFJ0,3826.5,4003.0,3781.0,4003.0,59426,89500,24992690000.0
2021-10-19,DFJ0,4045.5,4193.0,3993.5,4059.5,66850,85786,29669629999.999996
2021-10-20,DFJ0,3996.0,4064.5,3722.0,3722.0,90947,79069,37862660000.0
2021-10-21,DFJ0,3548.0,3821.0,3376.0,3376.0,129931,77457,50879210000.0
2021-10-22,DFJ0,3350.0,3562.0,3116.0,3284.5,148402,68324,53871459999.99999
2021-10-25,DFJ0,3327.0,3492.0,3257.5,3447.5,83421,73747,30706830000.0
2021-10-26,DFJ0,3483.5,3571.0,3309.5,3492.5,96152,75390,36243840000.0
2021-10-27,DFJ0,3476.5,3504.5,3161.0,3161.0,53176,67361,19343920000.0
2021-10-28,DFJ0,2950.0,3125.5,2950.0,2950.0,63794,47319,20635560000.0
2021-10-29,DFJ0,2952.0,3020.0,2712.5,2744.5,84284,39752,26197270000.0
2021-11-01,DFJ0,2764.5,2806.0,2617.5,2670.0,53663,38560,15908850000.000002
2021-11-02,DFJ0,2690.5,2870.5,2568.5,2765.5,68098,35261,20278210000.0
2021-11-03,DFJ0,2761.5,3004.0,2733.5,2963.0,50071,34290,15600019999.999998
2021-11-04,DFJ0,2967.5,2995.0,2748.0,2796.5,41184,32511,12793800000.0
2021-11-05,DFJ0,2801.5,2872.5,2719.0,2807.0,27790,31693,8405563000.000001
2021-11-08,DFJ0,2808.0,2917.0,2760.0,2834.0,34641,31373,10628840000.0
2021-11-09,DFJ0,2826.5,2829.0,2746.0,2776.0,25782,29620,7789813000.0
2021-11-10,DFJ0,2718.5,2728.0,2586.0,2691.0,31202,27549,9033231000.0
